白	5	32511
仔	5	32521
他	5	32525
仞	5	32534
仭	5	32534
斥	5	33124
卮	5	33155
瓜	5	33544
仝	5	34121
仺	5	34151
尒	5	34234
仚	5	34252
屳	5	34252
乎	5	34312
丛	5	34341
込	5	34454
令	5	34454
用	5	35112
甩	5	35115
肊	5	35115
印	5	35152
氐	5	35154
尔	5	35234
乐	5	35234
句	5	35251
叴	5	35251
凧	5	35252
匆	5	35334
犰	5	35335
匃	5	35345
册	5	35351
卯	5	35352
匇	5	35354
犯	5	35355
匄	5	35415
外	5	35424
处	5	35424
処	5	35435
冬	5	35444
鸟	5	35451
夘	5	35452
邜	5	35452
务	5	35453
夗	5	35455
刍	5	35511
饤	5	35512
包	5	35515
饥	5	35535
主	5	41121
冮	5	41121
市	5	41252
庁	5	41312
庂	5	41334
庀	5	41335
疒	5	41341
邝	5	41352
広	5	41354
立	5	41431
冯	5	41551
邙	5	41552
玄	5	41554
闪	5	42534
氷	5	42534
兰	5	43111
半	5	43112
汁	5	44112
汀	5	44112
汇	5	44115
汅	5	44115
乧	5	44125
头	5	44134
汃	5	44134
汄	5	44134
氿	5	44135
汈	5	44151
氻	5	44153
汉	5	44154
氾	5	44155
忊	5	44212
忉	5	44253
忇	5	44253
宁	5	44512
穴	5	44534
它	5	44535
宂	5	44535
宄	5	44535
讦	5	45112
讧	5	45121
讨	5	45124
戹	5	45135
写	5	45151
让	5	45211
衤	5	45234
礼	5	45245
冚	5	45252
讪	5	45252
讬	5	45315
讫	5	45315
训	5	45322
议	5	45434
必	5	45434
讯	5	45512
记	5	45515
永	5	45534
讱	5	45534
司	5	51251
叏	5	51254
尼	5	51335
凥	5	51335
尻	5	51335
民	5	51515
弗	5	51532
邔	5	51552
弘	5	51554
疋	5	52134
阢	5	52135
叾	5	52251
出	5	52252
阡	5	52312
阣	5	52315
辽	5	52454
阠	5	52512
阤	5	52525
氶	5	52534
氹	5	52534
奵	5	53112
邚	5	53152
奶	5	53153
奴	5	53154
丱	5	53221
尕	5	53234
召	5	53251
加	5	53251
皮	5	53254
辺	5	53454
边	5	53454
辸	5	53454
孕	5	53521
发	5	53544
圣	5	54121
对	5	54124
弁	5	54132
厼	5	54234
台	5	54251
癶	5	54334
矛	5	54523
纠	5	55152
驭	5	55154
母	5	55414
幼	5	55453
丝	5	55551
廵	5	55554
弎	6	111154
弐	6	111154
匡	6	111215
耒	6	111234
邦	6	111352
玎	6	112112
兲	6	112134
玐	6	112134
玑	6	112135
玏	6	112153
丟	6	112154
式	6	112154
迀	6	112454
迂	6	112454
幵	6	113112
刑	6	113222
邢	6	113252
邞	6	113452
刓	6	113522
戎	6	113534
邧	6	113552
忈	6	114544
动	6	115453
迃	6	115454
圩	6	121112
扞	6	121112
扜	6	121112
圬	6	121115
扝	6	121115
圭	6	121121
扛	6	121121
扗	6	121121
寺	6	121124
圷	6	121124
扙	6	121134
扤	6	121135
圵	6	121211
卋	6	121221
吉	6	121251
扣	6	121251
圸	6	121252
圲	6	121312
扦	6	121312
考	6	121315
圫	6	121315
圪	6	121315
托	6	121315
扥	6	121315
扢	6	121315
圳	6	121322
老	6	121335
圴	6	121354
巩	6	121354
圾	6	121354
扚	6	121354
执	6	121354
扱	6	121354
圹	6	121413
扩	6	121413
扪	6	121425
赱	6	121434
扫	6	121511
扟	6	121512
圮	6	121515
圯	6	121515
地	6	121525
扡	6	121525
场	6	121533
扬	6	121533
扨	6	121534
扠	6	121544
耳	6	122111
芉	6	122112
芋	6	122112
芌	6	122115
芏	6	122121
芐	6	122124
共	6	122134
芖	6	122134
芅	6	122154
芇	6	122252
芊	6	122312
芕	6	122354
芍	6	122354
芃	6	122354
芄	6	122354
芨	6	122354
芒	6	122415
亚	6	122431
芝	6	122454
芑	6	122515
芎	6	122515
芓	6	122521
芆	6	122544
芗	6	122553
朾	6	123412
朽	6	123415
朴	6	123424
朳	6	123434
朲	6	123434
杁	6	123434
朼	6	123435
机	6	123435
朹	6	123435
朻	6	123452
朷	6	123453
朸	6	123453
权	6	123454
过	6	124454
亘	6	125111
臣	6	125125
吏	6	125134
再	6	125211
襾	6	125221
覀	6	125221
朿	6	125234
両	6	125252
协	6	125344
西	6	125351
亙	6	125441
攰	6	125453
压	6	131214
厌	6	131344
厍	6	131512
厊	6	131523
戌	6	131534
在	6	132121
百	6	132511
有	6	132511
乭	6	132515
存	6	132521
而	6	132522
页	6	132534
匠	6	133125
夸	6	134115
圶	6	134121
夺	6	134124
夶	6	134134
夵	6	134234
夻	6	134251
夼	6	134322
灰	6	134334
达	6	134454
戍	6	134534
匢	6	135335
尥	6	135354
列	6	135422
死	6	135435
成	6	135534
匟	6	141355
夹	6	143134
夷	6	151534
轨	6	152135
邪	6	152352
邨	6	152552
攷	6	153134
尧	6	153135
划	6	153422
迈	6	153454
毕	6	153512
至	6	154121
瓧	6	155412
邷	6	155452
尗	6	211234
丠	6	211351
此	6	212135
乩	6	212515
贞	6	212534
虍	6	215315
师	6	231252
尘	6	234121
尖	6	234134
劣	6	234353
光	6	243135
当	6	243511
旪	6	251112
早	6	251112
吁	6	251112
屼	6	252135
屿	6	252151
屾	6	252252
岀	6	252252
屹	6	252315
岁	6	252354
岋	6	252354
岌	6	252354
帆	6	252354
辿	6	252454
回	6	252511
屺	6	252515
岂	6	252515
屻	6	252534
岃	6	252534
则	6	253422
刚	6	253422
网	6	253434
肉	6	253434
氼	6	253434
凼	6	253452
囝	6	255211
囡	6	255311
钆	6	311155
钇	6	311155
年	6	311212
朱	6	311234
伍	6	321251
伂	6	321252
伎	6	321254
伓	6	321324
伏	6	321344
伛	6	321345
伖	6	321354
优	6	321354
伌	6	321355
臼	6	321511
